,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
6491,1095,坂口 安吾,43004,閑山,新字旧仮名,,tatsuki,今井忠夫,公開,2006-01-23,坂口安吾全集　02,筑摩書房,1999（平成11）年4月20日初版第1刷,1999（平成11）年4月20日初版第1刷
6500,1095,坂口 安吾,56812,教祖の文学 ――小林秀雄論――,新字新仮名,,Nana ohbe,酒井裕二,公開,2015-10-20,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6532,1095,坂口 安吾,45720,講談先生,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-08-23,坂口安吾選集　第五巻小説5,講談社,1982（昭和57）年6月12日第1刷,1982（昭和57）年6月12日第1刷
6539,1095,坂口 安吾,45832,枯淡の風格を排す,新字旧仮名,,tatsuki,伊藤時也,公開,2010-07-08,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6547,1095,坂口 安吾,45786,今後の寺院生活に対する私考,新字旧仮名,,tatsuki,noriko saito,公開,2009-05-22,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6549,1095,坂口 安吾,45737,今日の感想,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-10-17,坂口安吾選集　第十巻エッセイ1,講談社,1982（昭和57）年8月12日第1刷,1982（昭和57）年8月12日第1刷
6570,1095,坂口 安吾,56801,篠笹の陰の顔,新字新仮名,,Nana ohbe,酒井裕二,公開,2015-07-15,風と光と二十の私と・いずこへ　他十六篇,岩波文庫、岩波書店,2013（平成25）年1月25日第3刷,2013（平成25）年1月25日第3刷
6612,1095,坂口 安吾,57480,禅僧,新字新仮名,,日根敏晶,noriko saito,公開,2019-10-20,桜の森の満開の下,講談社文芸文庫、講談社,2015（平成27）年4月15日第47刷,2015（平成27）年4月15日第47刷
6639,1095,坂口 安吾,57481,小さな部屋,新字新仮名,,日根敏晶,まつもこ,公開,2017-10-20,桜の森の満開の下,講談社文芸文庫、講談社,2015（平成27）年4月15日第47刷,2016（平成28）年5月20日第48刷
6644,1095,坂口 安吾,45714,茶番に寄せて,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-08-23,坂口安吾選集　第一巻小説1,講談社,1982（昭和57）年7月12日第1刷,1982（昭和57）年7月12日第1刷
6654,1095,坂口 安吾,45650,土の中からの話,新字新仮名,,田中敬三,noriko saito,公開,2006-08-19,桜の森の満開の下,講談社文芸文庫、講談社,2004（平成16）年12月3日第34刷,2005（平成17）年8月10日第36刷
6662,1095,坂口 安吾,56815,デカダン文学論,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-02-12,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6672,1095,坂口 安吾,57482,道鏡,新字新仮名,,日根敏晶,村並秀昭,公開,2020-10-20,桜の森の満開の下,講談社文芸文庫、講談社,2015（平成27）年4月15日第47刷,2019（平成31）年1月18日第50刷
6678,1095,坂口 安吾,45815,長島の死,新字旧仮名,,tatsuki,伊藤時也,公開,2010-06-15,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6693,1095,坂口 安吾,45728,二十一,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-10-24,坂口安吾選集　第六巻　小説６,講談社,1982（昭和57）年4月12日第1刷,1982（昭和57）年4月12日第1刷
6695,1095,坂口 安吾,56803,二十七歳,新字新仮名,,Nana ohbe,酒井裕二,公開,2015-10-20,風と光と二十の私と・いずこへ　他十六篇,岩波文庫、岩波書店,2013（平成25）年1月25日第3刷,2013（平成25）年1月25日第3刷
6718,1095,坂口 安吾,56804,母,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-05-10,風と光と二十の私と・いずこへ　他十六篇,岩波文庫、岩波書店,2013（平成25）年1月25日第3刷,2013（平成25）年1月25日第3刷
6727,1095,坂口 安吾,45716,ピエロ伝道者,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-08-27,坂口安吾選集　第一巻小説1,講談社,1982（昭和57）年7月12日第1刷,1982（昭和57）年7月12日第1刷
6729,1095,坂口 安吾,45744,悲願に就て ――「文芸」の作品批評に関聯して――,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-10-17,坂口安吾選集　第十巻エッセイ1,講談社,1982（昭和57）年8月12日第1刷,1982（昭和57）年8月12日第1刷
6755,1095,坂口 安吾,44919,文学のふるさと,新字新仮名,,うてな,noriko saito,公開,2006-08-19,堕落論,新潮社,2004（平成16）年4月20日5刷,2005（平成17）年2月10日6刷
6759,1095,坂口 安吾,45819,文章その他,新字旧仮名,,tatsuki,noriko saito,公開,2009-06-11,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6761,1095,坂口 安吾,56816,文章の一形式,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-02-27,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
